# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.misses,1717194233712000000,1717194271906000000,167
FilePageCacheLockFree.totalNativeBytesReclaimed,1717194233712000000,1717194271906000000,0
StorageLockContext.competingThreads.90P,1717194233712000000,1717194271906000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1717194233712000000,1717194271906000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1717194233712000000,1717194271906000000,41943040
DirectByteBufferAllocator.disposed,1717194233712000000,1717194271906000000,127
FilePageCacheLockFree.totalHeapBytesAllocated,1717194233712000000,1717194271906000000,0
FilePageCacheLockFree.totalPagesReclaimed,1717194233712000000,1717194271906000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1717194233712000000,1717194271906000000,41943040
FilePageCache.pageLoads,1717194233712000000,1717194271906000000,170
VFS.fileByIdCache.hits,1717194233712000000,1717194271906000000,0
VFS.fileChildByName,1717194233712000000,1717194271906000000,134
VFS.invertedFileNameIndex.requests,1717194233712000000,1717194271906000000,0
VFS.fileByIdCache.misses,1717194233712000000,1717194271906000000,0
writeAction.median.wait.ms,1717194233712000000,1717194271906000000,0
writeAction.max.wait.ms,1717194233712000000,1717194271906000000,0
writeAction.count,1717194233712000000,1717194271906000000,29
writeAction.wait.ms,1717194233712000000,1717194271906000000,0
cacheStateStorage.set.duration,1717194233712000000,1717194271906000000,0
cacheStateStorage.get.counter,1717194233712000000,1717194271906000000,5
cacheStateStorage.get.duration,1717194233712000000,1717194271906000000,0
cacheStateStorage.set.counter,1717194233712000000,1717194271906000000,0
Indexes.allKeys.lookupDurationAvgMs,1717194233712000000,1717194271906000000,0.0
Indexes.stubs.lookups,1717194233712000000,1717194271906000000,0.0
Indexes.entries.lookupDurationAvgMs,1717194233712000000,1717194271906000000,0.0
Indexes.entries.lookupDurationMaxMs,1717194233712000000,1717194271906000000,0.0
Indexes.allKeys.lookups,1717194233712000000,1717194271906000000,0.0
Indexes.entries.lookupDuration90PMs,1717194233712000000,1717194271906000000,0.0
Indexes.entries.lookups,1717194233712000000,1717194271906000000,0.0
Indexes.stubs.lookupDurationAvgMs,1717194233712000000,1717194271906000000,0.0
Indexes.stubs.lookupDuration90PMs,1717194233712000000,1717194271906000000,0.0
Indexes.allKeys.lookupDuration90PMs,1717194233712000000,1717194271906000000,0.0
Indexes.stubs.lookupDurationMaxMs,1717194233712000000,1717194271906000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1717194233712000000,1717194271906000000,0.0
workspaceModel.global.updates.ms,1717194233712000000,1717194271906000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1717194233712000000,1717194271906000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1717194233712000000,1717194271906000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1717194233712000000,1717194271906000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1717194233712000000,1717194271906000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1717194233712000000,1717194271906000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1717194233712000000,1717194271906000000,0
workspaceModel.mutableEntityStorage.instances.count,1717194233712000000,1717194271906000000,2
workspaceModel.load.cache.from.file.ms,1717194233712000000,1717194271906000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1717194233712000000,1717194271906000000,0
workspaceModel.sync.entities.ms,1717194233712000000,1717194271906000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1717194233712000000,1717194271906000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1717194233712000000,1717194271906000000,0
jps.app.storage.content.reader.load.component.ms,1717194233712000000,1717194271906000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1717194233712000000,1717194271906000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1717194233712000000,1717194271906000000,0
workspaceModel.save.cache.to.file.ms,1717194233712000000,1717194271906000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1717194233712000000,1717194271906000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1717194233712000000,1717194271906000000,0
jps.global.get.library.by.name.ms,1717194233712000000,1717194271906000000,0
jps.global.initialize.library.bridges.after.loading.ms,1717194233712000000,1717194271906000000,4
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1717194233712000000,1717194271906000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1717194233712000000,1717194271906000000,0
workspaceModel.load.cache.metadata.from.file.ms,1717194233712000000,1717194271906000000,0
jps.library.entities.serializer.save.entities.ms,1717194233712000000,1717194271906000000,0
jps.global.initialize.library.bridges.ms,1717194233712000000,1717194271906000000,0
jps.library.entities.serializer.load.entities.ms,1717194233712000000,1717194271906000000,0
jps.global.handle.changed.events.ms,1717194233712000000,1717194271906000000,0
jps.save.global.entities.ms,1717194233712000000,1717194271906000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1717194233712000000,1717194271906000000,0
jps.global.get.libraries.ms,1717194233712000000,1717194271906000000,0
jps.global.get.library.ms,1717194233712000000,1717194271906000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1717194233712000000,1717194271906000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1717194233712000000,1717194271906000000,0
workspaceModel.global.updates.count,1717194233712000000,1717194271906000000,0
jps.global.handle.before.change.events.ms,1717194233712000000,1717194271906000000,0
workspaceModel.mutableEntityStorage.entities.ms,1717194233712000000,1717194271906000000,3
workspaceModel.mutableEntityStorage.referrers.ms,1717194233712000000,1717194271906000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1717194233712000000,1717194271906000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1717194233712000000,1717194271906000000,1
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1717194233712000000,1717194271906000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1717194233712000000,1717194271906000000,0
workspaceModel.do.save.caches.ms,1717194233712000000,1717194271906000000,0
jps.load.initial.state.ms,1717194233712000000,1717194271906000000,16
workspaceModel.global.apply.state.to.project.ms,1717194233712000000,1717194271906000000,0
