# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileByIdCache.misses,1717189697682000000,1717189734601000000,0
VFS.fileByIdCache.hits,1717189697682000000,1717189734601000000,0
VFS.invertedFileNameIndex.requests,1717189697682000000,1717189734601000000,0
VFS.fileChildByName,1717189697682000000,1717189734601000000,134
WriteAction.executionsCount,1717189697682000000,1717189734601000000,29
FlushQueue.waitingTimeAvgNs,1717189697682000000,1717189734601000000,0.0
FlushQueue.queueSizeAvg,1717189697682000000,1717189734601000000,0.0
FlushQueue.executionTimeMaxNs,1717189697682000000,1717189734601000000,0
AWTEventQueue.dispatchTime90PNs,1717189697682000000,1717189734601000000,0
FlushQueue.waitingTime90PNs,1717189697682000000,1717189734601000000,0
AWTEventQueue.eventsDispatched,1717189697682000000,1717189734601000000,0
FlushQueue.waitingTimeMaxNs,1717189697682000000,1717189734601000000,0
AWTEventQueue.dispatchTimeAvgNs,1717189697682000000,1717189734601000000,0.0
ReadAction.executionsCount,1717189697682000000,1717189734601000000,222623
FlushQueue.executionTimeAvgNs,1717189697682000000,1717189734601000000,0.0
FlushQueue.queueSize90P,1717189697682000000,1717189734601000000,0
NonBlockingReadAction.finalizedExecutionsCount,1717189697682000000,1717189734601000000,4
FlushQueue.queueSizeMax,1717189697682000000,1717189734601000000,0
FlushQueue.executionTime90PNs,1717189697682000000,1717189734601000000,0
AWTEventQueue.dispatchTimeTotalNS,1717189697682000000,1717189734601000000,859420528
NonBlockingReadAction.finalizedExecutionTimeUs,1717189697682000000,1717189734601000000,6205
FlushQueue.tasksExecuted,1717189697682000000,1717189734601000000,0
NonBlockingReadAction.failedExecutionsCount,1717189697682000000,1717189734601000000,0
NonBlockingReadAction.failedExecutionTimeUs,1717189697682000000,1717189734601000000,0
AWTEventQueue.dispatchTimeMaxNs,1717189697682000000,1717189734601000000,0
writeAction.median.wait.ms,1717189697682000000,1717189734601000000,0
writeAction.count,1717189697682000000,1717189734601000000,29
writeAction.wait.ms,1717189697682000000,1717189734601000000,0
writeAction.max.wait.ms,1717189697682000000,1717189734601000000,0
Indexes.allKeys.lookupDurationAvgMs,1717189697682000000,1717189734601000000,0.0
Indexes.stubs.lookupDurationMaxMs,1717189697682000000,1717189734601000000,0.0
Indexes.allKeys.lookups,1717189697682000000,1717189734601000000,0.0
Indexes.entries.lookupDurationMaxMs,1717189697682000000,1717189734601000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1717189697682000000,1717189734601000000,0.0
Indexes.entries.lookupDuration90PMs,1717189697682000000,1717189734601000000,0.0
Indexes.entries.lookups,1717189697682000000,1717189734601000000,0.0
